Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Music - Hearts of Iron IV: Sabaton Soundtrack Vol. 2,"Win, Mac, Linux",210,210,86,Very Positive,"26 Jan, 2017","5,99€",0,"5,99€",Strategy,https://store.steampowered.com/app/584141/Music__Hearts_of_Iron_IV_Sabaton_Soundtrack_Vol_2/?snr=1_7_7_240_150_13,"Strategy, Simulation, Music"
Valkyria Chronicles™,Win,9953,9953,90,Very Positive,"11 Nov, 2014","19,99€",None,0,Anime,https://store.steampowered.com/app/294860/Valkyria_Chronicles/?snr=1_7_7_240_150_13,"Anime, Strategy, Turn-Based"
Showgunners,Win,659,659,94,Very Positive,"2 May, 2023","28,99€",0,"28,99€",Turn-Based Tactics,https://store.steampowered.com/app/1155330/Showgunners/?snr=1_7_7_240_150_13,"Turn-Based Tactics, Turn-Based Combat, 1990's"
Idling to Rule the Gods,"Win, Mac, Linux",1532,1532,87,Very Positive,"27 May, 2016",0,None,0,Free to Play,https://store.steampowered.com/app/466170/Idling_to_Rule_the_Gods/?snr=1_7_7_240_150_13,"Free to Play, Simulation, Indie"
Airborne Kingdom,"Win, Mac",1645,1645,87,Very Positive,"7 Mar, 2022","24,50€",0,"24,50€",City Builder,https://store.steampowered.com/app/982290/Airborne_Kingdom/?snr=1_7_7_240_150_13,"City Builder, Exploration, Base Building"
Worms Reloaded,"Win, Mac, Linux",3036,3036,85,Very Positive,"26 Aug, 2010","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/22600/Worms_Reloaded/?snr=1_7_7_240_150_13,"Strategy, 2D, Turn-Based"
Rock of Ages 2: Bigger & Boulder™,Win,2233,2233,90,Very Positive,"28 Aug, 2017","14,99€",None,0,Strategy,https://store.steampowered.com/app/434460/Rock_of_Ages_2_Bigger__Boulder/?snr=1_7_7_240_150_13,"Strategy, Action, Comedy"
Frozenheim,Win,2735,2735,72,Mostly Positive,"16 Jun, 2022","16,99€",0,"16,99€",Strategy,https://store.steampowered.com/app/1134100/Frozenheim/?snr=1_7_7_240_150_13,"Strategy, Base Building, RTS"
The Universim,"Win, Mac, Linux",6145,6145,81,Very Positive,"15 Aug, 2018","27,99€",0,"27,99€",Early Access,https://store.steampowered.com/app/352720/The_Universim/?snr=1_7_7_240_150_13,"Early Access, God Game, City Builder"
The Riftbreaker: Metal Terror,Win,222,222,77,Mostly Positive,"18 Jul, 2022","9,99€",0,"9,99€",Strategy,https://store.steampowered.com/app/1945600/The_Riftbreaker_Metal_Terror/?snr=1_7_7_240_150_13,"Strategy, Indie, Simulation"
Bomber Crew,"Win, Mac, Linux",8450,8450,89,Very Positive,"19 Oct, 2017","19,99€",0,"19,99€",World War II,https://store.steampowered.com/app/537800/Bomber_Crew/?snr=1_7_7_240_150_13,"World War II, Simulation, Strategy"
Civilization V - Explorer’s Map Pack,"Win, Mac, Linux",57,57,84,Very Positive,"3 May, 2011","3,49€",0,"3,49€",Strategy,https://store.steampowered.com/app/16866/Civilization_V__Explorers_Map_Pack/?snr=1_7_7_240_150_13,Strategy
Sands of Salzaar,Win,20098,20098,83,Very Positive,"15 Dec, 2021","12,49€",0,"12,49€",Open World,https://store.steampowered.com/app/1094520/Sands_of_Salzaar/?snr=1_7_7_240_150_13,"Open World, RPG, Strategy"
Ghostrunner 2,Win,,0,0,None,"26 Oct, 2023","39,99€",0,"39,99€",Action,https://store.steampowered.com/app/2144740/Ghostrunner_2/?snr=1_7_7_240_150_13,"Action, Cyberpunk, Fast-Paced"
Field of Glory II: Medieval,Win,326,326,87,Very Positive,"4 Feb, 2021","28,99€",0,"28,99€",Simulation,https://store.steampowered.com/app/1368870/Field_of_Glory_II_Medieval/?snr=1_7_7_240_150_13,"Simulation, Strategy, Turn-Based Tactics"
Element TD 2 - Mazing Expansion,Win,28,28,100,Positive,"2 Dec, 2022","6,49€",0,"6,49€",Indie,https://store.steampowered.com/app/2177070/Element_TD_2__Mazing_Expansion/?snr=1_7_7_240_150_13,"Indie, Strategy, Tower Defense"
Zeus + Poseidon,Win,1402,1402,96,Overwhelmingly Positive,"15 Dec, 2016","9,99€",None,0,City Builder,https://store.steampowered.com/app/566050/Zeus__Poseidon/?snr=1_7_7_240_150_13,"City Builder, Strategy, Colony Sim"
Planetbase,"Win, Mac",8153,8153,79,Mostly Positive,"15 Oct, 2015","12,49€",0,"12,49€",Colony Sim,https://store.steampowered.com/app/403190/Planetbase/?snr=1_7_7_240_150_13,"Colony Sim, City Builder, Base Building"
Holdfast: Frontlines WW1 - Ottoman Forces,Win,32,32,100,Positive,"18 Apr, 2022","5,69€",None,0,Strategy,https://store.steampowered.com/app/1960210/Holdfast_Frontlines_WW1__Ottoman_Forces/?snr=1_7_7_240_150_13,"Strategy, Action, Massively Multiplayer"
Star Realms,Win,1768,1768,86,Very Positive,"8 Mar, 2016",0,None,0,Deckbuilding,https://store.steampowered.com/app/438140/Star_Realms/?snr=1_7_7_240_150_13,"Deckbuilding, Strategy, Card Battler"
Screeps: World,"Win, Mac, Linux",1589,1589,89,Very Positive,"16 Nov, 2016","14,99€",0,"14,99€",Programming,https://store.steampowered.com/app/464350/Screeps_World/?snr=1_7_7_240_150_13,"Programming, Strategy, Massively Multiplayer"
Conan Exiles - Seekers of the Dawn Pack,Win,119,119,70,Mostly Positive,"12 Dec, 2018","9,99€",None,0,Strategy,https://store.steampowered.com/app/972370/Conan_Exiles__Seekers_of_the_Dawn_Pack/?snr=1_7_7_240_150_13,"Strategy, Action, Adventure"
Squad - Original Soundtrack Vol. 1 & 2,Music,100,100,94,Very Positive,"29 Apr, 2016","6,99€",0,"6,99€",Strategy,https://store.steampowered.com/app/453400/Squad__Original_Soundtrack_Vol_1__2/?snr=1_7_7_240_150_13,"Strategy, Action, Indie"
Conan Exiles - Debaucheries of Derketo Pack,Win,154,0,0,None,"8 Oct, 2019","9,99€",None,0,Adventure,https://store.steampowered.com/app/1147100/Conan_Exiles__Debaucheries_of_Derketo_Pack/?snr=1_7_7_240_150_13,"Adventure, RPG, Massively Multiplayer"
Talisman - The Highland Expansion,"Win, Mac",16,16,87,Positive,"6 Mar, 2015","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/267780/Talisman__The_Highland_Expansion/?snr=1_7_7_240_150_13,"Strategy, RPG, Indie"
Sid Meier's Civilization® III Complete,Win,4413,4413,91,Very Positive,"25 Oct, 2006","4,99€",0,"4,99€",Strategy,https://store.steampowered.com/app/3910/Sid_Meiers_Civilization_III_Complete/?snr=1_7_7_240_150_13,"Strategy, Turn-Based Strategy, Turn-Based"
BATTLETECH Flashpoint,"Win, Mac, Linux",237,0,0,None,"27 Nov, 2018","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/911930/BATTLETECH_Flashpoint/?snr=1_7_7_240_150_13,"Strategy, Adventure, Action"
Project Hospital - Hospital Services,"Win, Mac, Linux",105,105,87,Very Positive,"24 Apr, 2020","7,99€",0,"7,99€",Strategy,https://store.steampowered.com/app/1282550/Project_Hospital__Hospital_Services/?snr=1_7_7_240_150_13,"Strategy, Indie, Simulation"
Space Engineers - Economy Deluxe,Win,119,119,82,Very Positive,"22 Aug, 2019","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/1135960/Space_Engineers__Economy_Deluxe/?snr=1_7_7_240_150_13,"Strategy, Action, Simulation"
Alina of the Arena,"Win, Mac",2928,2928,91,Very Positive,"13 Oct, 2022","12,49€",0,"12,49€",Roguelike Deckbuilder,https://store.steampowered.com/app/1668690/Alina_of_the_Arena/?snr=1_7_7_240_150_13,"Roguelike Deckbuilder, Roguelike, Turn-Based Tactics"
Heroes of Might & Magic V: Tribes of the East,Win,2268,2268,92,Very Positive,"10 Oct, 2008","9,99€",0,"9,99€",Strategy,https://store.steampowered.com/app/15370/Heroes_of_Might__Magic_V_Tribes_of_the_East/?snr=1_7_7_240_150_13,"Strategy, Turn-Based Strategy, Fantasy"
War Mongrels,"Win, Mac",1107,1107,70,Mostly Positive,"19 Oct, 2021","42,98€",50,"21,49€",Real Time Tactics,https://store.steampowered.com/app/1101790/War_Mongrels/?snr=1_7_7_240_150_13,"Real Time Tactics, Stealth, Strategy"
Holdfast: Frontlines WW1 - American Forces,Win,35,35,100,Positive,"17 Feb, 2022","5,69€",None,0,Simulation,https://store.steampowered.com/app/1906771/Holdfast_Frontlines_WW1__American_Forces/?snr=1_7_7_240_150_13,"Simulation, Strategy, Action"
FRONT MISSION 1st: Remake,Win,207,207,79,Mostly Positive,"30 Jun, 2023","33,99€",0,"33,99€",Strategy,https://store.steampowered.com/app/2399730/FRONT_MISSION_1st_Remake/?snr=1_7_7_240_150_13,"Strategy, Turn-Based Strategy, RPG"
Cliff Empire,Win,3768,3768,87,Very Positive,"6 Aug, 2019","12,49€",0,"12,49€",City Builder,https://store.steampowered.com/app/809140/Cliff_Empire/?snr=1_7_7_240_150_13,"City Builder, Colony Sim, Simulation"
Utawarerumono: Prelude to the Fallen,Win,969,969,93,Very Positive,"22 Jan, 2021","49,99€",None,0,Turn-Based Tactics,https://store.steampowered.com/app/1151450/Utawarerumono_Prelude_to_the_Fallen/?snr=1_7_7_240_150_13,"Turn-Based Tactics, Visual Novel, Anime"
MMORPG Tycoon 2,"Win, Mac, Linux",2305,2305,86,Very Positive,"6 Jan, 2020","20,99€",0,"20,99€",Simulation,https://store.steampowered.com/app/486860/MMORPG_Tycoon_2/?snr=1_7_7_240_150_13,"Simulation, Strategy, MMORPG"
