,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
4396,Soul of War: Legions,Win,0,82.0,82,86,Very Positive,"12 Sep, 2023",16,0,100.0,1,0,Casual,https://store.steampowered.com/app/2571350/Soul_of_War_Legions/?snr=1_7_7_240_150_47,"Casual, Strategy, Card Game"
4397,Brewer,Win,0,54.0,54,75,Mostly Positive,"15 Aug, 2019",1505,"2,99€",0.0,0,"2,99€",Simulation,https://store.steampowered.com/app/1064200/Brewer/?snr=1_7_7_240_150_47,"Simulation, Strategy, Indie"
4398,Super Jigsaw Puzzle,Win,0,105.0,105,88,Very Positive,"15 Feb, 2018",2051,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/792650/Super_Jigsaw_Puzzle/?snr=1_7_7_240_150_47,"Casual, Indie, Simulation"
4399,SPAGHET,Win,0,133.0,133,93,Very Positive,"13 Apr, 2018",1994,"1,99€",0.0,0,"1,99€",Casual,https://store.steampowered.com/app/821320/SPAGHET/?snr=1_7_7_240_150_47,"Casual, Indie, Strategy"
4400,Castles II: Siege & Conquest,"Win, Mac, Linux",1,24.0,24,83,Positive,"18 Aug, 2017",2232,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/670180/Castles_II_Siege__Conquest/?snr=1_7_7_240_150_47,"Strategy, RPG, Historical"
4401,Smugglers 5: Invasion,Win,0,20.0,0,0,,"16 Oct, 2014",3269,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/326230/Smugglers_5_Invasion/?snr=1_7_7_240_150_47,"Strategy, RPG, Indie"
4402,Avernum 2: Crystal Souls,"Win, Mac",1,198.0,198,92,Very Positive,"14 Jan, 2015",3179,"19,99€",0.0,0,"19,99€",RPG,https://store.steampowered.com/app/337850/Avernum_2_Crystal_Souls/?snr=1_7_7_240_150_47,"RPG, Indie, Strategy"
4403,Black & White,Win,0,442.0,442,75,Mostly Positive,"16 Mar, 2023",196,"14,79€",100.0,1,0,Adventure,https://store.steampowered.com/app/1998450/Black__White/?snr=1_7_7_240_150_47,"Adventure, Strategy, RPG"
4404,Galactic Civilizations III - Mega Events DLC,Win,0,27.0,0,0,,"11 Aug, 2015",2970,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/389930/Galactic_Civilizations_III__Mega_Events_DLC/?snr=1_7_7_240_150_47,"Strategy, Indie, Turn-Based"
4405,Super Dungeon Tactics,"Win, Mac",1,110.0,110,77,Mostly Positive,"14 Dec, 2016",2479,"8,19€",0.0,0,"8,19€",RPG,https://store.steampowered.com/app/463160/Super_Dungeon_Tactics/?snr=1_7_7_240_150_47,"RPG, Strategy, Indie"
4406,Blackguards: Untold Legends,"Win, Mac",1,34.0,34,73,Mostly Positive,"4 Mar, 2014",3495,"0,99€",0.0,0,"0,99€",Strategy,https://store.steampowered.com/app/281770/Blackguards_Untold_Legends/?snr=1_7_7_240_150_47,"Strategy, RPG, Indie"
4407,Super Time Force Ultra,"Win, Mac, Linux",1,648.0,648,90,Very Positive,"25 Aug, 2014",3321,"12,49€",100.0,1,0,Side Scroller,https://store.steampowered.com/app/250700/Super_Time_Force_Ultra/?snr=1_7_7_240_150_47,"Side Scroller, Time Manipulation, Bullet Hell"
4408,Brutal Legend Soundtrack,Music,0,55.0,55,85,Very Positive,"13 Feb, 2013",3879,"6,99€",0.0,0,"6,99€",Action,https://store.steampowered.com/app/225270/Brutal_Legend_Soundtrack/?snr=1_7_7_240_150_47,"Action, Adventure, Strategy"
4409,Cannon Brawl,"Win, Mac, Linux",1,540.0,540,92,Very Positive,"19 Sep, 2014",3296,"15,99€",0.0,0,"15,99€",Indie,https://store.steampowered.com/app/230860/Cannon_Brawl/?snr=1_7_7_240_150_47,"Indie, Multiplayer, Local Multiplayer"
4410,Card City Nights 2,"Win, Mac, Linux",1,144.0,144,88,Very Positive,1 sept. 2017,2218,"6,59€",0.0,0,"6,59€",Combat avec cartes,https://store.steampowered.com/app/241300/Card_City_Nights_2/?snr=1_7_7_240_150_47,"Combat avec cartes, Construction de decks, Aventure"
4411,川建国同志想要连任/Comrade Trump's Re-election,Win,0,1107.0,1107,88,Very Positive,"10 Sep, 2020",1113,"2,99€",100.0,1,0,Casual,https://store.steampowered.com/app/1375870/Comrade_Trumps_Reelection/?snr=1_7_7_240_150_47,"Casual, Strategy, RPG"
4412,Hidden Harbor Top-Down 3D,"Win, Mac, Linux",1,15.0,15,80,Positive,"12 Apr, 2022",534,"390,00€",97.0,1,"11,70€",Action,https://store.steampowered.com/app/1947260/Hidden_Harbor_TopDown_3D/?snr=1_7_7_240_150_47,"Action, Adventure, Casual"
4413,Ballad of Solar,"Win, Mac",1,184.0,184,86,Very Positive,"22 May, 2014",3416,"6,99€",0.0,0,"6,99€",Casual,https://store.steampowered.com/app/302490/Ballad_of_Solar/?snr=1_7_7_240_150_47,"Casual, Adventure, Strategy"
4414,The Magic Circle,"Win, Mac, Linux",1,989.0,989,91,Very Positive,"9 Jul, 2015",3003,"16,79€",0.0,0,"16,79€",Adventure,https://store.steampowered.com/app/323380/The_Magic_Circle/?snr=1_7_7_240_150_47,"Adventure, Indie, Puzzle"
4415,Theatre of War,Win,0,252.0,0,0,,"9 Jul, 2010",4829,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/46290/Theatre_of_War/?snr=1_7_7_240_150_47,"Strategy, World War II, RTS"
4416,DROP - System Breach,"Win, Mac",1,81.0,81,91,Very Positive,"28 Mar, 2023",184,"9,75€",0.0,0,"9,75€",Action,https://store.steampowered.com/app/1902300/DROP__System_Breach/?snr=1_7_7_240_150_47,"Action, Hacking, Indie"
4417,B100X - Auto Dungeon RPG,Win,0,809.0,809,81,Very Positive,"26 Jan, 2021",975,0,100.0,1,0,RPG,https://store.steampowered.com/app/1258780/B100X__Auto_Dungeon_RPG/?snr=1_7_7_240_150_47,"RPG, Casual, Strategy"
4418,Alien Hostage,Win,0,101.0,0,0,,"1 Oct, 2018",1823,"11,73€",25.0,1,"8,80€",Strategy,https://store.steampowered.com/app/562430/Alien_Hostage/?snr=1_7_7_240_150_47,"Strategy, Casual, Indie"
4419,Blood Bowl 2 - Wood Elves,"Win, Mac",1,25.0,0,0,,"3 Nov, 2015",2886,"6,99€",0.0,0,"6,99€",Strategy,https://store.steampowered.com/app/382910/Blood_Bowl_2__Wood_Elves/?snr=1_7_7_240_150_47,"Strategy, Sports"
4420,Caveman Craig,"Win, Mac",1,66.0,66,83,Very Positive,"28 Aug, 2015",2953,"4,99€",0.0,0,"4,99€",Strategy,https://store.steampowered.com/app/363240/Caveman_Craig/?snr=1_7_7_240_150_47,"Strategy, Indie, Dinosaurs"
4421,Claws & Feathers,Win,0,55.0,55,92,Very Positive,"26 Mar, 2015",3108,"6,99€",0.0,0,"6,99€",Casual,https://store.steampowered.com/app/354310/Claws__Feathers/?snr=1_7_7_240_150_47,"Casual, Strategy, Match 3"
4422,Triple Town,"Win, Mac",1,547.0,547,92,Very Positive,"6 Dec, 2012",3948,"9,99€",0.0,0,"9,99€",Casual,https://store.steampowered.com/app/209950/Triple_Town/?snr=1_7_7_240_150_47,"Casual, Strategy, Indie"
4423,Necronator: Dead Wrong,Win,0,324.0,0,0,,"30 Jul, 2020",1155,"16,99€",0.0,0,"16,99€",Real Time Tactics,https://store.steampowered.com/app/1144970/Necronator_Dead_Wrong/?snr=1_7_7_240_150_47,"Real Time Tactics, Tower Defense, Cute"
4424,Rise of Humanity,Win,0,26.0,0,0,,"21 Oct, 2021",707,"19,99€",0.0,0,"19,99€",Early Access,https://store.steampowered.com/app/1048530/Rise_of_Humanity/?snr=1_7_7_240_150_47,"Early Access, Futuristic, Realistic"
4425,Grim Realms,Win,0,252.0,252,80,Very Positive,"12 Oct, 2021",716,"11,79€",0.0,0,"11,79€",Colony Sim,https://store.steampowered.com/app/1522280/Grim_Realms/?snr=1_7_7_240_150_47,"Colony Sim, Crafting, Base Building"
4426,100% Orange Juice - Character Song Pack: Ultimate Weapon Girl,Music,0,95.0,95,96,Very Positive,"25 Jun, 2019",1556,"3,99€",0.0,0,"3,99€",Strategy,https://store.steampowered.com/app/1101351/100_Orange_Juice__Character_Song_Pack_Ultimate_Weapon_Girl/?snr=1_7_7_240_150_47,"Strategy, Indie"
